Region,State,City,Main Tourist Attraction,Time needed to visit (hours),Google Review Rating,Entrance Fee (INR),Type of Attractions,DSLR Allowed,Best Time to visit,Best Time (Months),Nearest Airport,Number of Google Reviews,Dish Name,Veg or Non Veg,Type of Dish,Course
South,Karnataka,Gokarna,Om Beach,2.0,4.5,0.0,Nature,Yes,All,Nov–Feb,Kempegowda International Airport (BLR),9000,Chicken Ghee Roast,Non Veg,Roast,Main Course
South,Karnataka,Coorg,Abbey Falls,1.0,4.1,0.0,Nature,Yes,Morning,Oct–Mar,Kannur International Airport (CNN),3000,Mysore Pak,Veg,Sweet,Dessert
South,Karnataka,Hampi,Hampi Archaeological Ruins,3.0,4.7,0.0,Historical,Yes,All,Oct–Mar,"Jindal Vijaynagar Airport, Toranagallu (VDY)",5000,Holige/Obbattu,Veg,Sweet Flatbread,Dessert
South,Karnataka,Mysore,Mysore Palace,2.0,4.6,50.0,Historical,Yes,All,Oct–Mar,Mysore Airport (MYQ),250000,Mangalore Buns,Veg,Fried Banana Puri,Snack
South,Kerala,Thekkady,Periyar National Park,3.0,4.3,50.0,Wildlife,Yes,All,Nov–Feb,Madurai International Airport (IXM),14000,Kappa and Meen Curry,Non Veg,Tapioca + Fish,Main Course
South,Kerala,Wayanad,Wayanad Wildlife Sanctuary,3.0,4.5,300.0,Wildlife,Yes,All,Nov–Feb,Cochin International Airport (COK),220000,Erissery,Veg,Pumpkin & Lentil,Main Course
South,Kerala,Kozhikode,Kozhikode Beach,1.5,3.9,0.0,Recreational,Yes,All,Nov–Feb,Cochin International Airport (COK),5900,Parippu Curry,Veg,Dal,Main Course
South,Kerala,Thiruvananthapuram,Padmanabhaswamy Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Trivandrum International Airport (TRV),46000,Idiyappam,Veg,String Hoppers,Breakfast
South,Kerala,Kovalam,Kovalam Beach,2.0,4.4,0.0,Recreational,Yes,All,Nov–Feb,Cochin International Airport (COK),68000,Unniyappam,Veg,Sweet Snack,Dessert
South,Kerala,Munnar,Munnar Tea Gardens,2.0,4.3,0.0,Nature,Yes,All,Oct–Mar,Cochin International Airport (COK),30000,Kerala Fish Curry,Non Veg,Fish Curry,Main Course
South,Kerala,Alappuzha,Alappuzha Beach,1.5,4.5,0.0,Recreational,Yes,All,Nov–Feb,Cochin International Airport (COK),11000,Appam with Stew,Veg,Rice Pancake + Veg Stew,Breakfast
South,Kerala,Kochi,LuLu International Shopping Mall,3.0,4.6,0.0,Shopping,Yes,All,Nov–Feb,Cochin International Airport (COK),190000,Karimeen Pollichathu,Non Veg,Pearl Spot in Banana Leaf,Main Course
South,Kerala,Varkala,Varkala Beach,2.0,4.6,0.0,Recreational,Yes,All,Nov–Feb,Cochin International Airport (COK),10000,Pazham Pori,Veg,Banana Fritter,Snack
South,Kerala,Kochi,Fort Kochi,1.0,4.4,0.0,Historical,Yes,All,Nov–Feb,Cochin International Airport (COK),10000,Puttu and Kadala Curry,Veg,Steamed Rice Cake + Chickpeas,Breakfast
South,Kerala,Bekal,Bekal Fort,1.5,4.5,20.0,Historical,Yes,All,Nov–Feb,Cochin International Airport (COK),22000,Ada Pradhaman,Veg,Payasam,Dessert
South,Kerala,Kannur,St. Angelo Fort,1.0,4.4,20.0,Historical,Yes,All,Nov–Feb,Cochin International Airport (COK),11000,Malabar Parotta with Beef/Chicken Curry,Non Veg,Bread + Curry,Main Course
South,Kerala,Kumarakom,Kumarakom Bird Sanctuary,2.0,3.8,50.0,Wildlife,Yes,All,Nov–Feb,Cochin International Airport (COK),10000,Nadan Beef Fry,Non Veg,Beef Fry,Main Course
South,Kerala,Nelliyampathy,Seethargundu Viewpoint,1.0,4.5,0.0,Nature,Yes,Morning,Nov–Feb,Cochin International Airport (COK),3000,Vegetable Stew,Veg,Coconut Milk Stew,Main Course
South,Kerala,Kochi,Kerala Folklore Museum,1.5,4.4,100.0,Cultural,Yes,All,Nov–Feb,Cochin International Airport (COK),10000,Avial,Veg,Mixed Veg Curry,Main Course
South,Kerala,Kochi,Wonderla Amusement Park,5.5,4.6,750.0,Entertainment,Yes,All,Nov–Feb,Cochin International Airport (COK),41000,Thalassery Biryani,Non Veg,Biryani,Main Course
North,Ladakh,Leh,Thiksey Monastery,1.5,4.7,20.0,Religious,No,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),5000,Momos,Veg/Non Veg,Steamed Dumplings,Snack
North,Ladakh,Nubra Valley,Nubra Valley,2.0,4.5,0.0,Nature,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),10000,Skyu,Veg/Non Veg,Pasta-like Stew,Main Course
North,Ladakh,Kargil,Kargil War Memorial,1.0,4.8,0.0,Historical,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),1100,Skyu — Special #1,Veg/Non Veg,Pasta-like Stew,Main Course
North,Ladakh,Leh,Pangong Tso,2.0,4.9,20.0,Nature,Yes,Morning,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),15000,Thukpa,Veg/Non Veg,Noodle Soup,Main Course
North,Ladakh,Diskit,Diskit Monastery,1.0,4.7,20.0,Religious,No,Morning,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),1500,Skyu — Special #2,Veg/Non Veg,Pasta-like Stew,Main Course
North,Ladakh,Hemis,Hemis National Park,4.0,4.4,20.0,Wildlife,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),2000,Skyu — Special #3,Veg/Non Veg,Pasta-like Stew,Main Course
North,Ladakh,Dras,Dras War Memorial,1.0,4.8,0.0,Historical,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),1200,Skyu — Special #4,Veg/Non Veg,Pasta-like Stew,Main Course
North,Ladakh,Leh,Magnetic Hill,0.5,3.7,0.0,Nature,Yes,All,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),10000,Jalebi,Veg,Sweet,Dessert
North,Ladakh,Leh,Khardung La Pass,1.0,4.5,0.0,Adventure,Yes,Afternoon,Jun–Sep,Kushok Bakula Rimpochee Airport (IXL),5000,Mutton Curry,Non Veg,Spicy,Main Course
Central,Madhya Pradesh,Bandhavgarh,Bandhavgarh National Park,3.0,4.5,50.0,Wildlife,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),5000,Jalebi (Hot),Veg,Sweet,Dessert
Central,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,2.0,4.7,10.0,Cultural,Yes,All,Oct–Mar,Raja Bhoj Airport (BHO),15000,Bhutte Ka Kees,Veg,Grated Corn Snack,Snack
Central,Madhya Pradesh,Orchha,Orchha Fort,1.5,4.8,10.0,Historical,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),10000,Indori Namkeen Mix,Veg,Snack,Snack
Central,Madhya Pradesh,Jabalpur,Dhuandhar Falls,1.0,4.5,0.0,Nature,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),1000,Rogan Josh (Indore style),Non Veg,Mutton Curry,Main Course
Central,Madhya Pradesh,Mandu,Jahaz Mahal,1.0,3.9,50.0,Historical,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),3000,Bafla with Ghee,Veg,Bread Dish,Main Course
Central,Madhya Pradesh,Bhimbetka,Bhimbetka Rock Shelters,2.0,4.6,25.0,Archaeological,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),7000,Chicken Rezala (Bhopal),Non Veg,Chicken Curry,Main Course
Central,Madhya Pradesh,Amarkantak,Narmada Udgam Temple,1.0,4.4,0.0,Religious,Yes,All,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),1000,Gajak,Veg,Sweet,Dessert
Central,Madhya Pradesh,Chitrakoot,Chitrakoot Falls,1.5,4.4,0.0,Nature,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),10000,Khopra Patties,Veg,Coconut Cutlets,Snack
Central,Madhya Pradesh,Kanha,Kanha National Park,3.0,4.5,100.0,Wildlife,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),10000,Mawa Bati,Veg,Sweet,Dessert
Central,Madhya Pradesh,Pachmarhi,Bee Falls,1.5,4.6,15.0,Nature,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),6500,Shikanji (Indore sweet drink),Veg,Drink/Dessert,Dessert
Central,Madhya Pradesh,Bhopal,Sanchi Stupa,1.5,4.7,30.0,Historical,Yes,Afternoon,Oct–Mar,Raja Bhoj Airport (BHO),1000,Dal Bafla,Veg,Wheat Dumplings + Dal,Main Course
Central,Madhya Pradesh,Indore,Rajwada Palace,1.0,4.4,10.0,Historical,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),63000,Bhopali Gosht Korma,Non Veg,Mutton Curry,Main Course
Central,Madhya Pradesh,Khajuraho,Khajuraho Group of Monuments,2.0,4.7,40.0,Cultural,Yes,Afternoon,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),9000,Poha-Jalebi,Veg,Breakfast Combo,Breakfast
Central,Madhya Pradesh,Ujjain,Mahakaleshwar Jyotirlinga,1.5,4.8,0.0,Religious,No,All,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),120000,Sabudana Khichdi,Veg,Sago Khichdi,Main Course
Central,Madhya Pradesh,Gwalior,Gwalior Fort,2.5,4.5,75.0,Historical,Yes,Morning,Oct–Mar,Devi Ahilya Bai Holkar Airport (IDR),40000,Seekh Kebabs (Bhopal),Non Veg,Grilled Meat,Snack
West,Maharashtra,Nashik,Sula Vineyards,2.0,4.1,300.0,Recreational,Yes,Afternoon,Oct–Mar,Nashik Airport (ISK),10000,Chicken/Mutton Sukka,Non Veg,Dry Curry,Main Course
West,Maharashtra,Mumbai,Marine Drive,2.0,4.5,0.0,Scenic,Yes,Evening,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),150000,Misal Pav,Veg,Spicy Sprouts Curry + Bread,Breakfast
West,Maharashtra,Shirdi,Sai Baba Temple,1.5,4.7,0.0,Religious,No,All,Oct–Mar,Shirdi Airport (SAG),69000,Kombdi Vade,Non Veg,Chicken + Fried Bread,Main Course
West,Maharashtra,Pune,Shaniwar Wada,2.0,4.4,50.0,Historical,Yes,All,Nov–Feb,Pune International Airport (PNQ),120000,Thalipeeth,Veg,Multigrain Flatbread,Main Course
West,Maharashtra,Aurangabad,Ajanta Caves,3.0,4.6,30.0,Historical,Yes,Afternoon,Oct–Mar,Chhatrapati Sambhaji Nagar Airport (IXU),21000,Poha,Veg,Flattened Rice,Breakfast
West,Maharashtra,Alibaug,Alibaug Beach,1.5,4.2,0.0,Recreational,Yes,Evening,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),5000,Kanda Bhaji,Veg,Onion Fritters,Snack
West,Maharashtra,Ratnagiri,Ganapatipule Temple,1.0,4.7,0.0,Religious,No,All,Oct–Mar,Ratnagiri Airport (RTC),10000,Mutton Ukkad,Non Veg,Stew,Main Course
West,Maharashtra,Nagpur,Deekshabhoomi,1.0,4.5,0.0,Religious,Yes,Afternoon,Oct–Mar,Dr. Babasaheb Ambedkar International Airport (NAG),11000,Koliwada Prawns,Non Veg,Fried Prawns,Snack
West,Maharashtra,Mumbai,Gateway of India,1.0,4.6,0.0,Historical,Yes,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),360000,Vada Pav,Veg,Potato Fritter Bun,Snack
West,Maharashtra,Matheran,Echo Point,1.5,4.4,0.0,Nature,Yes,Morning,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),2000,Puran Poli,Veg,Sweet Flatbread,Dessert
West,Maharashtra,Mumbai,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,1.0,4.6,500.0,Historical,Yes,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),34000,Pandra Rassa (Kolhapuri),Non Veg,White Curry,Main Course
West,Maharashtra,Satara,Kaas Plateau,2.0,4.4,300.0,Nature,Yes,Afternoon,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),5000,Vada Pav,Veg,Potato Fritter Bun,Snack
West,Maharashtra,Mumbai,Sanjay Gandhi National Park,3.0,4.3,50.0,Wildlife,Yes,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),60000,Tambda Rassa (Kolhapuri),Non Veg,Red Curry,Main Course
West,Maharashtra,Mumbai,Siddhivinayak Temple,2.0,4.8,0.0,Religious,No,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),105000,Puran Poli,Veg,Sweet Flatbread,Dessert
West,Maharashtra,Ajanta,Ellora Caves,3.0,4.7,30.0,Historical,Yes,Afternoon,Oct–Mar,Chhatrapati Shivaji Maharaj International Airport (BOM),49000,Pav Bhaji,Veg,Mashed Veg Curry + Bread,Main Course
West,Maharashtra,Mumbai,Mahalaxmi Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),33000,Bharli Vangi,Veg,Stuffed Brinjal,Main Course
West,Maharashtra,Mumbai,Essel World,5.0,4.3,1149.0,Recreational,Yes,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),27000,Pav Bhaji,Veg,Mashed Veg Curry + Bread,Main Course
West,Maharashtra,Mumbai,Elephanta Caves,4.0,4.3,550.0,Historical,Yes,All ,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),35000,Solkadhi,Veg,Coconut Kokum Drink,Drink
West,Maharashtra,Lonavala,Imagicaa,5.0,1.4,1149.0,Recreational,Yes,All,Nov–Feb,Pune International Airport (PNQ),95000,Modak,Veg,Sweet Dumpling,Dessert
West,Maharashtra,Tarkarli,Tarkarli Beach,2.0,4.6,0.0,Recreational,Yes,Evening,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),6500,Misal Pav,Veg,Spicy Sprouts Curry + Bread,Breakfast
West,Maharashtra,Lonavala,Karla Caves,1.5,4.4,25.0,Historical,Yes,Afternoon,Nov–Feb,Pune International Airport (PNQ),27000,Ragda Pattice,Veg,Street Snack,Snack
West,Maharashtra,Kolhapur,Mahalakshmi Temple,1.0,4.8,0.0,Religious,No,All,Oct–Mar,Chhatrapati Rajaram Maharaj Airport (KLH),90000,Shrikhand,Veg,Sweet,Dessert
West,Maharashtra,Mumbai,Haji Ali Dargah,2.0,4.4,0.0,Religious,No,All,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),16000,Sabudana Khichdi,Veg,Fasting Dish,Main Course
West,Maharashtra,Mumbai,Chowpatty Beach,2.0,4.3,0.0,Recreational,Yes,Evening,Nov–Feb,Chhatrapati Shivaji Maharaj International Airport (BOM),5000,Bombay Duck Fry (Bombil),Non Veg,Fish Fry,Snack
North Eastern,Meghalaya,Cherrapunji,Living Root Bridge,2.0,4.6,0.0,Nature,Yes,Morning,Oct–Apr,Shillong Airport (SHL),6000,Jadoh,Non Veg,Pork & Rice,Main Course
East,Meghalaya,Cherrapunji (Sohra),Nohkalikai Falls,1–2,4.7,20.0,Natural waterfall viewpoint,Yes,Morning-Noon,Jun–Sep,Shillong Airport (Umroi) (SHL),2000,Jadoh — Special #1,Non Veg,Pork & Rice,Main Course
North Eastern,Nagaland,Dzükou Valley,Dzükou Valley,3.0,4.7,0.0,Trekking,Yes,Afternoon,Oct–Apr,Dimapur Airport (DMU),1000,Smoked Pork with Bamboo Shoot,Non Veg,Smoky,Main Course
East,Odisha,Keonjhar,Badaghagara Waterfall,1.0,4.3,0.0,Nature,Yes,Morning,Nov–Feb,Biju Patnaik International Airport (BBI),1799,Arisa Pitha,Veg,Rice Cake,Dessert
East,Odisha,Rourkela,Khandadhar Waterfall,1.5,4.5,0.0,Nature,Yes,All,Nov–Feb,Biju Patnaik International Airport (BBI),120000,Machha Besara,Non Veg,Fish Curry (Mustard),Main Course
East,Odisha,Bhubaneswar,Lingaraj Temple,1.0,4.6,0.0,Religious,No,All,Nov–Feb,Biju Patnaik International Airport (BBI),35000,Chhena Poda,Veg,Baked Cottage Cheese Sweet,Dessert
East,Odisha,Konark,Sun Temple,1.5,4.7,40.0,Historical,Yes,All,Nov–Feb,Biju Patnaik International Airport (BBI),83000,Dalma,Veg,Lentil + Veg,Main Course
East,Odisha,Puri,Jagannath Temple,2.0,4.7,0.0,Religious,No,All,Nov–Feb,Biju Patnaik International Airport (BBI),100000,Pakhala Bhata,Veg,Fermented Rice,Main Course
East,Odisha,Chilika,Chilika Lake,2.0,3.9,0.0,Nature,Yes,Morning,Nov–Feb,Biju Patnaik International Airport (BBI),10000,Rasagola (Odisha),Veg,Sweet,Dessert
East,Odisha,Berhampur,Tara Tarini Temple,1.0,4.6,0.0,Religious,No,All,Nov–Feb,Biju Patnaik International Airport (BBI),1000,Manda Pitha,Veg,Steamed Dumpling,Dessert
East,Odisha,Balasore,Chandipur Beach,1.5,4.2,0.0,Recreational,Yes,Morning,Nov–Feb,Biju Patnaik International Airport (BBI),1400,Ghuguni,Veg,Pea Curry,Snack
East,Odisha,Kendujhar,Sanaghagara Waterfall,1.0,4.4,0.0,Nature,Yes,All,Nov–Feb,Biju Patnaik International Airport (BBI),5500,Chhena Jhili,Veg,Sweet,Dessert
East,Odisha,Cuttack,Barabati Fort,1.0,4.5,0.0,Historical,Yes,All,Nov–Feb,Biju Patnaik International Airport (BBI),13000,Chingudi Jhola,Non Veg,Prawn Curry,Main Course
East,Odisha,Sambalpur,Hirakud Dam,1.0,4.5,0.0,Engineering Marvel,Yes,All,Nov–Feb,Biju Patnaik International Airport (BBI),1000,Santula,Veg,Mixed Veg Curry,Main Course
East,Odisha,Bhubaneswar,Nandankanan Zoological Park,3.0,4.4,50.0,Wildlife,Yes,Afternoon,Nov–Feb,Biju Patnaik International Airport (BBI),81000,Dahi Baingan,Veg,Curd Eggplant,Main Course
South,Puducherry,Puducherry,Paradise Beach,1.0,4.5,200.0,Recreational,Yes,Morning,Nov–Feb,Pondicherry Airport (PNY),1500,Samosa,Veg,"Crispy, Savory",Snack
South,Puducherry,Auroville,Auroville,2.0,4.1,0.0,Cultural,Yes,All,Nov–Feb,Pondicherry Airport (PNY),3500,Masala Dosa,Veg,"Crispy, Savory",Breakfast/Main
South,Puducherry,Puducherry,Promenade Beach,1.0,4.5,0.0,Recreational,Yes,Morning,Nov–Feb,Pondicherry Airport (PNY),9000,Baguette Sandwiches (Franco-Tamil),Veg/Non Veg,Fusion,Snack
North,Punjab,Amritsar,Jallianwala Bagh,1.0,4.8,0.0,Historical,Yes,Afternoon,Oct–Mar,Sri Guru Ram Dass Jee International Airport (ATQ),30000,Chole Bhature (Punjabi style),Veg,Chickpeas + Bread,Main Course
North,Punjab,Chandigarh,Rock Garden,2.0,4.5,30.0,Artistic,Yes,All,Oct–Mar,Shaheed Bhagat Singh International Airport (IXC),50000,Butter Chicken (Punjabi),Non Veg,Chicken Curry,Main Course
North,Punjab,Amritsar,Wagah Border,2.0,4.8,0.0,Cultural,Yes,Evening,Oct–Mar,Sri Guru Ram Dass Jee International Airport (ATQ),17000,Amritsari Kulcha,Veg,Stuffed Bread,Main Course
North,Punjab,Amritsar,Golden Temple (Harmandir Sahib),1.5,4.9,0.0,Spiritual,Yes,All,Oct–Mar,Sri Guru Ram Dass Jee International Airport (ATQ),190000,Sarson da Saag & Makki di Roti,Veg,Leafy Curry + Corn Bread,Main Course
North,Rajasthan,Jaipur,Amber Fort,2.0,4.6,100.0,Historical,Yes,All,Oct–Mar,Jaipur International Airport (JAI),150000,Gatte ki Sabzi,Veg,Gram Dumpling Curry,Main Course
North,Rajasthan,Jaipur,Jaigarh Fort,1.5,4.5,35.0,Historical,Yes,All,Oct–Mar,Jaipur International Airport (JAI),30000,Laal Maas,Non Veg,Spicy Mutton Curry,Main Course
North,Rajasthan,Bikaner,Junagarh Fort,2.0,4.5,50.0,Historical,Yes,All,Oct–Mar,"Nal Airport, Bikaner (BKB)",32000,Kadhi (Rajasthani),Veg,Yogurt Curry,Main Course
North,Rajasthan,Jaipur,Hawa Mahal,1.0,4.4,50.0,Architectural,Yes,Morning,Oct–Mar,Jaipur International Airport (JAI),130000,Dal Baati Churma,Veg,Bread + Lentil + Sweet,Main Course
North,Rajasthan,Udaipur,City Palace,2.0,4.4,300.0,Historical,Yes,All,Oct–Mar,Maharana Pratap Airport (UDR),51000,Mirchi Bada,Veg,Chilli Fritter,Snack
North,Rajasthan,Mount Abu,Dilwara Temples,1.0,4.6,0.0,Religious,No,All,Oct–Mar,Maharana Pratap Airport (UDR),5000,Bikaneri Bhujia,Veg,Snack,Snack
North,Rajasthan,Jaisalmer,Jaisalmer Fort,2.5,4.4,50.0,Historical,Yes,All,Oct–Mar,Jaisalmer Airport (JSA),56000,Bajre ki Roti & Lehsun Chutney,Veg,Bread + Chutney,Main Course
North,Rajasthan,Jodhpur,Mehrangarh Fort,2.0,4.6,100.0,Historical,Yes,All,Oct–Mar,Jodhpur Airport (JDH),64000,Jungli Maas,Non Veg,Game Curry,Main Course
North,Rajasthan,Ajmer,Ajmer Sharif Dargah,1.0,4.6,0.0,Religious,No,All,Oct–Mar,Kishangarh Airport (KQH),35000,Ghewar,Veg,Sweet,Dessert
North,Rajasthan,Sawai Madhopur,Ranthambore National Park,3.0,4.6,500.0,Wildlife,Yes,All,Nov–Apr,Jaipur International Airport (JAI),9000,Rabri (Dessert),Veg,Sweet,Dessert
North,Rajasthan,Chittorgarh,Chittorgarh Fort,2.0,4.6,40.0,Historical,Yes,All,Oct–Mar,Jaipur International Airport (JAI),190000,Moong Dal Halwa,Veg,Sweet,Dessert
North,Rajasthan,Pushkar,Pushkar Lake,1.5,4.4,0.0,Religious,Yes,All,Oct–Mar,Jaipur International Airport (JAI),160000,Kalmi Vada,Veg,Fritter,Snack
North,Rajasthan,Udaipur,Lake Pichola,1.0,4.6,0.0,Nature,Yes,All,Oct–Mar,Maharana Pratap Airport (UDR),50000,Mohan Maas,Non Veg,Rich Mutton Curry,Main Course
North,Rajasthan,Jaipur,Albert Hall Museum,2.0,4.5,200.0,Historical,Yes,All,Oct–Mar,Jaipur International Airport (JAI),63000,Pyaaz Kachori,Veg,Stuffed Snack,Snack
East,Sikkim,Namchi,Char Dham,2.0,4.7,50.0,Religious,No,All,"Mar–Jun, Oct–Dec",Pakyong Airport (PYG),12000,Momos — Special #2,Veg/Non Veg,Dumplings,Snack
East,Sikkim,Gangtok,Rumtek Monastery,1.0,4.6,10.0,Religious,No,Morning,"Mar–Jun, Oct–Dec",Pakyong Airport (PYG),3500,Momos,Veg/Non Veg,Dumplings,Snack
East,Sikkim,Ravangla,Buddha Park,1.0,4.8,50.0,Cultural,Yes,All,"Mar–Jun, Oct–Dec",Pakyong Airport (PYG),10000,Momos — Special #3,Veg/Non Veg,Dumplings,Snack
East,Sikkim,Gangtok,Baba Harbhajan Singh Temple,1.0,4.7,0.0,Religious,No,All,"Mar–Jun, Oct–Dec",Pakyong Airport (PYG),7500,Samosa,Veg,"Crispy, Savory",Snack
East,Sikkim,Gangtok,Tsomgo Lake,2.0,4.5,0.0,Nature,Yes,Morning,"Mar–Jun, Oct–Dec",Pakyong Airport (PYG),15000,Veg Thali,Veg,Varied,Main Course
East,Sikkim,Pelling,Pemayangtse Monastery,1.0,4.6,20.0,Religious,No,Morning,"Mar–Jun, Oct–Dec",Pakyong Airport (PYG),1500,Momos — Special #1,Veg/Non Veg,Dumplings,Snack
East,Sikkim,Gangtok,Nathula Pass,2.0,4.3,20.0,Historical,Yes,Afternoon,"Mar–Jun, Oct–Dec",Pakyong Airport (PYG),15000,Sel Roti & Aloo Dum,Veg,Nepali Snack,Snack/Breakfast
South,Tamil Nadu,Kanyakumari,Vivekananda Rock Memorial,1.0,4.6,20.0,Historical,No,Morning,Nov–Feb,Chennai International Airport (MAA),47000,Kothu Parotta,Non Veg,Shredded Parotta + Meat,Main Course
South,Tamil Nadu,Madurai,Meenakshi Amman Temple,2.0,4.7,0.0,Religious,No,All,Nov–Feb,Madurai International Airport (IXM),65000,Chettinad Chicken,Non Veg,Spicy Chicken Curry,Main Course
South,Tamil Nadu,Chennai,Marina Beach,1.5,3.9,0.0,Recreational,Yes,Morning,Nov–Feb,Chennai International Airport (MAA),10000,Kanchipuram Idli,Veg,Steamed Rice Cake,Breakfast
South,Tamil Nadu,Chidambaram,Nataraja Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Chennai International Airport (MAA),28000,Adhirasam,Veg,Sweet,Dessert
South,Tamil Nadu,Tirunelveli,Nellaiappar Temple,1.0,4.6,0.0,Religious,No,All,Nov–Feb,Chennai International Airport (MAA),16000,Rasam (Tomato),Veg,Soup,Starter
South,Tamil Nadu,Ooty,Ooty Lake,1.0,4.1,10.0,Recreational,Yes,Morning,Oct–Mar,Coimbatore International Airport (CJB),61000,Madurai Jigarthanda,Veg,Cold Dessert Drink,Dessert
South,Tamil Nadu,Mahabalipuram,Shore Temple,1.0,4.6,40.0,Historical,No,All,Nov–Feb,Chennai International Airport (MAA),9000,Mushroom Pepper Fry,Veg,Dry Fry,Snack
South,Tamil Nadu,Thanjavur,Brihadeeswarar Temple,1.5,4.8,0.0,Religious,No,All,Nov–Feb,Chennai International Airport (MAA),35000,Elai Sappadu,Veg,Banana Leaf Meal,Main Course
South,Tamil Nadu,Kodaikanal,Kodaikanal Lake,2.0,3.9,0.0,Recreational,Yes,Morning,Oct–Mar,Chennai International Airport (MAA),10000,Paruppu Urundai Kuzhambu,Veg,Lentil Dumpling Curry,Main Course
South,Tamil Nadu,Coimbatore,Marudamalai Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Coimbatore International Airport (CJB),30000,Filter Coffee,Veg,Beverage,Drink
South,Tamil Nadu,Yercaud,Yercaud Lake,1.0,4.2,0.0,Recreational,Yes,Morning,Nov–Feb,Chennai International Airport (MAA),1900,Chilli Parotta,Veg,Street Food,Main Course
South,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,1.5,4.6,0.0,Religious,No,All,Nov–Feb,Chennai International Airport (MAA),1000,Pongal (Ven Pongal),Veg,Rice-Lentil Mash,Breakfast
South,Telangana,Hyderabad,Golconda Fort,2.0,4.4,30.0,Historical,Yes,Morning,Nov–Feb,Rajiv Gandhi International Airport (HYD),120000,Haleem,Non Veg,Meat Porridge,Main Course
South,Telangana,Hyderabad,Nehru Zoological Park,3.0,4.2,50.0,Wildlife,Yes,Morning,Nov–Feb,Rajiv Gandhi International Airport (HYD),86000,Double ka Meetha,Veg,Bread Pudding,Dessert
South,Telangana,Hyderabad,Charminar,1.0,4.5,25.0,Historical,Yes,Morning,Nov–Feb,Rajiv Gandhi International Airport (HYD),210000,Hyderabadi Biryani,Non Veg,Rice & Meat,Main Course
South,Telangana,Hyderabad,Inorbit Mall Cyberabad,2.0,4.5,0.0,Shopping,Yes,All,Nov–Feb,Rajiv Gandhi International Airport (HYD),120000,Boti Kebab,Non Veg,Grilled Meat,Snack
South,Telangana,Hyderabad,Hussain Sagar Lake,1.0,4.3,0.0,Scenic,Yes,Evening,Nov–Feb,Rajiv Gandhi International Airport (HYD),50000,Sakinalu,Veg,Crisp Snack,Snack
South,Telangana,Hyderabad,Ramoji Film City,4.0,4.4,1150.0,Entertainment,Yes,All,Nov–Feb,Rajiv Gandhi International Airport (HYD),45000,Sarva Pindi,Veg,Rice Flour Pancake,Snack
South,Telangana,Hyderabad,Salar Jung Museum,2.0,4.4,20.0,Historical,Yes,All,Nov–Feb,Rajiv Gandhi International Airport (HYD),67000,Kodi Kura,Non Veg,Chicken Curry,Main Course
