Region,State,City,Main Tourist Attraction,Time needed to visit (hours),Google Review Rating,Entrance Fee (INR),Type of Attractions,DSLR Allowed,Best Time to visit,Best Time (Months),Nearest Airport,Number of Google Reviews,Dish Name,Veg or Non Veg,Type of Dish,Course,Attraction_Link,Dish_Link
South,Goa,Goa,Palolem Beach,2.0,4.6,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),27000,Poi Bread with Chorizo Pao,Non Veg,Bread + Sausage,Snack,https://drive.google.com/uc?export=view&id=1cjm5Cz31d4eaBys3_2mU0GLAY1yP2-lt,https://drive.google.com/uc?export=view&id=1DvebZ8pJJ_8niSJ3wMcUXbcN6lKCbxkN
South,Goa,Goa,Basilica of Bom Jesus,1.0,4.5,0.0,Historical,Yes,Afternoon,Nov–Feb,Manohar International Airport (GOX),59000,Chicken Cafreal,Non Veg,Spicy Roast,Main Course,https://drive.google.com/uc?export=view&id=1g25TFJ-qGOC3sE__Y-C_NzDPmXjJw964,https://drive.google.com/uc?export=view&id=1na-YGL9Jcv-r3zX6AR9k1tIqhsUxhNu-
South,Goa,Goa,Fort Aguada,1.5,4.2,0.0,Historical,Yes,Morning,Nov–Feb,Manohar International Airport (GOX),95000,Prawn Balchao,Non Veg,Pickled Seafood Curry,Main Course,https://drive.google.com/uc?export=view&id=1cfjuePh-IBoKBl3oBaieDkE6z9Ws6h9f,https://drive.google.com/uc?export=view&id=1u1GqQEhoHV5ZeFLmJZw8VoSFBi3m5J-K
South,Goa,Goa,Dudhsagar Falls,3.0,4.6,500.0,Nature,Yes,Afternoon,Nov–Feb,Manohar International Airport (GOX),30000,Crab Xec Xec,Non Veg,Coconut Curry,Main Course,https://drive.google.com/uc?export=view&id=12h1cpeU8L6jn9JwejGd37PLQr8gV-u59,https://drive.google.com/uc?export=view&id=1HLJMw5oD3YhvN5apNBlKuLEMvbZCpR_8
South,Goa,Goa,Anjuna Beach,2.0,4.4,0.0,Scenic,Yes,Evening,Nov–Feb,Manohar International Airport (GOX),18000,Goan Fish Curry,Non Veg,Fish Curry,Main Course,https://drive.google.com/uc?export=view&id=1theiWFQZrY9mJOE-PYeB2Wk-706mijUm,https://drive.google.com/uc?export=view&id=1pBjxgho4pQBbLOZlK4eDAsWrwqXvbGmv
West,Gujarat,Gandhinagar,Akshardham,3.0,4.6,0.0,Religious,No,All,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),18000,Surti Locho,Veg,Steamed Snack,Snack,https://drive.google.com/uc?export=view&id=1_KhglrqhsL791vJEUH5ZGruyf6woJa3c,https://drive.google.com/uc?export=view&id=1bam2NS9YnUG_4Z-otWwTJOWdI1rOUppI
West,Gujarat,Ahmedabad,Kankaria Lake,3.0,4.5,10.0,Recreational,Yes,Afternoon,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),30000,Fafda Jalebi,Veg,Snack + Sweet,Snack,https://drive.google.com/uc?export=view&id=1G_M2YsuiftkUkEVGWINR7Q-NueRPAKxU,https://drive.google.com/uc?export=view&id=13Gz2M4bOFfEp5e0Iq0io9-4eCZaj4W05
West,Gujarat,Ahmedabad,Manek Chowk,2.0,4.4,0.0,Food,Yes,Night,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),49000,Khandvi,Veg,Gram Flour Rolls,Snack,https://drive.google.com/uc?export=view&id=1LCU9PA5RBzeCA1NRbQrxB1ulEGUBLqcV,https://drive.google.com/uc?export=view&id=1o9lHoK_Kt_qJgMLNa5y0CBxSF3kjAD9R
West,Gujarat,Ahmedabad,Sabarmati Riverfront,1.0,4.6,0.0,Recreational,Yes,Evening,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),10000,Thepla,Veg,Spiced Flatbread,Snack,https://drive.google.com/uc?export=view&id=1R5ceatwjU98eTZrTEy3VP2nJ-jBSEWiO,https://drive.google.com/uc?export=view&id=1xKuBtqq9mPG9tVKQQJ0yOqFsR40KClVC
West,Gujarat,Ahmedabad,Science City,7.0,4.4,500.0,Educational,Yes,All,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),11000,Handvo,Veg,Savoury Cake,Main Course,https://drive.google.com/uc?export=view&id=1_GjA7O7cWwsZS0kekj_lUV5wEfkETAeB,https://drive.google.com/uc?export=view&id=1KTH3MCcv3ZcHHk0zb4K9zFKcrc-0Oi2X
West,Gujarat,Kevadia,Statue of Unity,3.0,4.6,350.0,Historical,Yes,All,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),67000,Mohanthal,Veg,Sweet,Dessert,https://drive.google.com/uc?export=view&id=1O-tHSdzl5O9Li_36iFH94z2293zhUqTz,https://drive.google.com/uc?export=view&id=1E-dYn9x-ko1QuYqz7FjkGwKAfjKP87ou
West,Gujarat,Rann of Kutch,Rann Utsav,3.0,4.9,7500.0,Cultural,Yes,Evening,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),10000,Patra (Alu Vadi),Veg,Colocasia Roll,Snack,https://drive.google.com/uc?export=view&id=1IFMtpKif-OtaJHm0njwiGbXCIruTTFhZ,https://drive.google.com/uc?export=view&id=167pKx4vFdVxx-3EfpoZuW8r9MZQvPn6Z
West,Gujarat,Ahmedabad,Sabarmati Ashram,1.5,4.6,0.0,Historical,Yes,Morning,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),35000,Undhiyu,Veg,Mixed Veg Curry,Main Course,https://drive.google.com/uc?export=view&id=1f_KrP4CSrpGvs-CcBrHG8RNRewiEC0jy,https://drive.google.com/uc?export=view&id=1N5HGmpoHf4VPr7LCIx6sOhpMmP7s3ggU
West,Gujarat,Somnath,Somnath Temple,2.0,4.8,0.0,Religious,No,Morning,Oct–Mar,Diu Airport (DIU),39000,Dabeli,Veg,Street Burger,Snack,https://drive.google.com/uc?export=view&id=1Zrya9ZPqlN_t1ZdrcOwshUECXinHUG3f,https://drive.google.com/uc?export=view&id=1KLjYlqbuSYYlWGrrDNNLNsMWdzUnack-
West,Gujarat,Vadodara,Laxmi Vilas Palace,2.0,4.4,200.0,Historical,Yes,Afternoon,Oct–Mar,Vadodara Airport (BDQ),17000,Khichdi with Ghee,Veg,Rice + Lentils,Main Course,https://drive.google.com/uc?export=view&id=1xQ7HQIz7Bp_986Db41uZPBNxIDa3awYs,https://drive.google.com/uc?export=view&id=19s8Q9Qc5mEFOas_K4rgajYa68byQqqK9
West,Gujarat,Bhuj,White Desert,2.5,4.6,0.0,Nature,Yes,Evening,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),12000,Gujarati Kadhi,Veg,Yoghurt Curry,Side,https://drive.google.com/uc?export=view&id=1gN5p4ZsrPJlXL5dSbKwkWfCMo156hGdf,https://drive.google.com/uc?export=view&id=1G1cQxxqFZgFPzhPB03JH4I9A_f9O-mKN
West,Gujarat,Junagadh,Gir National Park,3.0,4.5,3500.0,Wildlife,Yes,Morning,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),8000,Sev Tameta nu Shaak,Veg,Tomato Curry,Main Course,https://drive.google.com/uc?export=view&id=1ubbls8c8iWLGKwI-dVjnM50RU1mZnK07,https://drive.google.com/uc?export=view&id=1PTTS8IowQnMLErYkVPPxP-qbILYtP5KY
West,Gujarat,Dwarka,Dwarkadhish Temple,2.0,4.7,0.0,Religious,No,Evening,Oct–Mar,Jamnagar Airport (JGA),59000,Lilva Kachori,Veg,Stuffed Snack,Snack,https://drive.google.com/uc?export=view&id=1mGtB7oo4WMLmy_NmHS6CVnP_6Ru5eBeB,https://drive.google.com/uc?export=view&id=1kuBD94Xv04QxWs9ssEa3oNu5iIuFsu3H
West,Gujarat,Gandhinagar,Dandi Kutir,1.5,4.5,0.0,Historical,Yes,All,Oct–Mar,Sardar Vallabhbhai Patel International Airport (AMD),5000,Basundi,Veg,Milk Dessert,Dessert,https://drive.google.com/uc?export=view&id=1Kx_CbcpK2SPfRHF2HWDjr-mruymcPIe6,https://drive.google.com/uc?export=view&id=1COC3yRAmtn-p8qi01wo5M0173H9OuZSW
North,Haryana,Gurugram,DLF CyberHub,2.0,4.7,0.0,Entertainment,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),71000,Chole Kulche,Veg,Spicy,Snack/Main,https://drive.google.com/uc?export=view&id=1I51hvisJnVWudM731ErNDJbbEmpeOtxQ,https://drive.google.com/uc?export=view&id=1Rkl0uxi4czaDVCT3HqWAhgkaX9xrOVkn
North,Haryana,Gurugram,Ambience Mall,2.0,4.6,0.0,Shopping,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),120000,Dahi Kebabs,Veg,"Creamy, Fried",Snack,https://drive.google.com/uc?export=view&id=1US0G5hSV5WZKgsSgZbLYNMKmqz51xCp4,https://drive.google.com/uc?export=view&id=1Ik0CXRFR-vALVQPoWeycyRhWBvB9K7cE
North,Haryana,Gurugram,Kingdom of Dreams,3.0,4.4,1100.0,Entertainment,Yes,Afternoon,Oct–Mar,Indira Gandhi International Airport (DEL),30000,Chicken Tikka,Non Veg,"Tandoor, Spicy",Snack/Main,https://drive.google.com/uc?export=view&id=1V3y6gPohg6yuGKx0WvWFjUFdQUGC24tc,https://drive.google.com/uc?export=view&id=1XRz8gXZEJsJvH00SpKIeiqD32Gghj0RH
North,Himachal Pradesh,Kangra,Kangra Fort,2.0,4.4,150.0,Historical,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),10000,Mittha,Veg,Sweet Rice,Dessert,https://drive.google.com/uc?export=view&id=182ZML33XHQwP0ddccG4n3IZIWaBbNXaV,https://drive.google.com/uc?export=view&id=1NVHyiOLPgBzIQPp23JPkAoKiryE6SxmB
North,Himachal Pradesh,dalhousie,Dalai Lama Temple,1.5,4.7,0.0,Religious,No,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),15000,Chha Gosht,Non Veg,Mutton in Yoghurt Gravy,Main Course,https://drive.google.com/uc?export=view&id=1j3kqCF5A7mJUIo8dzDdRl6yib2IQWUB5,https://drive.google.com/uc?export=view&id=1vzVnfXHZo44YBoK07YG-r6fYEcMM44nk
North,Himachal Pradesh,Dalhousie,Khajjiar Lake,1.5,4.5,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),10000,Madra,Veg,Chickpea Curry,Main Course,https://drive.google.com/uc?export=view&id=1awuH9J8GVrmyyoR9mpd4bHbwebl1g_qM,https://drive.google.com/uc?export=view&id=16mn0YyiVBaRfUaK7GRwzOt4hFHbSeRRl
North,Himachal Pradesh,Spiti Valley,Key Monastery,1.0,4.8,0.0,Religious,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),2500,Babru,Veg,Stuffed Flatbread,Snack,https://drive.google.com/uc?export=view&id=1oyS5-26puh_K5MtzAAEY51XoCRx3b5Tk,https://drive.google.com/uc?export=view&id=17_hccinQcqeyynMjDyhQcR_dSuLOXkbH
North,Himachal Pradesh,Kullu,Great Himalayan National Park,3.0,4.5,50.0,Wildlife,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),20000,Auriya Kaddu,Veg,Pumpkin Curry,Main Course,https://drive.google.com/uc?export=view&id=1RDMnrNkgIzPS0RwDFpaZsAIYnZiOpFI5,https://drive.google.com/uc?export=view&id=1SJ8aX_JB6JsvJlMqceS2Kw8izO2JJpfV
North,Himachal Pradesh,Chamba,Chamera Lake,2.0,4.4,0.0,Recreational,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Aktori,Veg,Buckwheat Pancake,Breakfast,https://drive.google.com/uc?export=view&id=1Zj3ThWJVZw2aLl8pAbX4Qw0m_vN5V7Li,https://drive.google.com/uc?export=view&id=1lb-bkqJzwtMub6SqOUcgwGLDKfbDSO0-
North,Himachal Pradesh,Kinnaur,Sangla Valley,2.0,4.5,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Bhey (Lotus Stem Curry),Veg,Curry,Main Course,https://drive.google.com/uc?export=view&id=172E7Rx-rARDY3hS-4QO1X4uMmNa9m53I,https://drive.google.com/uc?export=view&id=1TDCjjarDw89BI-pO5lyhwRGxqSh8Y9yJ
North,Himachal Pradesh,Palampur,Tea Gardens,1.5,4.6,0.0,Agricultural,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1500,Sepu Vadi,Veg,Lentil Dumplings Curry,Main Course,https://drive.google.com/uc?export=view&id=1917NmooXTvb6ujsS75fSGlBvNP9iXOWo,https://drive.google.com/uc?export=view&id=1JS7KgEkC9p3sMLDDTEBwinFN6Dac6V2T
North,Himachal Pradesh,Manali,Solang Valley,2.0,4.1,0.0,Adventure,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),5000,Siddu,Veg,Steamed Wheat Bun,Snack,https://drive.google.com/uc?export=view&id=1ShKlQtoGR2bDAtjzE34Dukvtum7CNw7s,https://drive.google.com/uc?export=view&id=1Hoqexdx4KGimxF9gnIeZouvBE8rqqltN
North,Himachal Pradesh,Shimla,Mall Road,1–2,4.6,0.0,Pedestrian shopping promenade,Yes,Evening,"Mar–Jun, Sep–Nov",Shimla Airport (Jubbarhatti) (SLV),3000,Chha Meat,Non Veg,Yoghurt Mutton,Main Course,https://drive.google.com/uc?export=view&id=1Z5g7Eqt0v2OOBTPQQE6wEuyAI36YBiBJ,https://drive.google.com/uc?export=view&id=1avnOUsKYUg3jrzzlmG4BNj-6zK8lQn0X
North,Himachal Pradesh,McLeod Ganj,Triund Trek,5.0,4.8,0.0,Adventure,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Anardana Chutney,Veg,Chutney,Side,https://drive.google.com/uc?export=view&id=16ny8Z_q-XCdmnM1xcCIAkP82UnDv26Ty,https://drive.google.com/uc?export=view&id=1CNwfCXA00stUd7vKiH9AiciE1XEEO9Xx
North,Himachal Pradesh,Manikaran,Manikaran Sahib,1.0,4.6,0.0,Religious,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),130000,Chamba Style Rajma,Veg,Rajma Curry,Main Course,https://drive.google.com/uc?export=view&id=151q39WTyG8NAeDmFfuahCOWGymKCl5y9,https://drive.google.com/uc?export=view&id=1GbAfu1_Fqb5UryvqZq_j09KSqTYH9NHE
North,Himachal Pradesh,Narkanda,Hatu Peak,2.0,4.5,0.0,Nature,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),110000,Tudkiya Bhath,Veg,Spiced Rice,Main Course,https://drive.google.com/uc?export=view&id=1NDdoGkq9aqpVI4ZmA5ZuzeG-YqjiXP6n,https://drive.google.com/uc?export=view&id=1UHu50Y2n95nsve-5cuzOxC-LLzeFg5Ap
North,Himachal Pradesh,Barot,Barot Valley,2.0,4.7,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),120000,Gahat (Kulath) Soup,Veg,Soup,Starter,https://drive.google.com/uc?export=view&id=14AzAqvSWGxq1zPmt97iVovyopQAOa1C8,https://drive.google.com/uc?export=view&id=14h_SzfD6pz4rXpykjmrzDgM6bJh8C7Zu
North,Himachal Pradesh,Shoja,Serolsar Lake,2.5,4.4,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),90000,Patande,Veg,Crepe,Breakfast,https://drive.google.com/uc?export=view&id=1kYAESkJM3TYFyJxO1MrdpnGBr0RRjCXo,https://drive.google.com/uc?export=view&id=1uIafq-VfOKZvJQ07soh3U3UIrQ8vIeBt
North,Himachal Pradesh,Kufri,Kufri Fun World,5.0,3.8,1500.0,Recreational,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),10000,Luchi with Chana,Veg,Bread + Curry,Breakfast,https://drive.google.com/uc?export=view&id=1DqpOKRzA0Hn8iSEhU5xScNi00VMcTJlE,https://drive.google.com/uc?export=view&id=1qAm7z1SrjtOAFJaPvHSPMvYIZCqUozu1
North,Himachal Pradesh,Mandi,Prashar Lake,1.5,4.6,0.0,Nature,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Kullu Trout,Non Veg,Fish,Main Course,https://drive.google.com/uc?export=view&id=1V2D2aBshR5D-XR2zZndFrmISERfiV3JU,https://drive.google.com/uc?export=view&id=13wAuVxWLkdZK1FOo88F8NPtOFnWNwKhr
North,Himachal Pradesh,Shimla,The Ridge,1.0,4.7,0.0,Recreational,Yes,Morning,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),3000,Dham (Festival Thali),Veg,Traditional Thali,Main Course,https://drive.google.com/uc?export=view&id=1-HiD6zv9dLqzjqbKHoNFd87jq0u4fILB,https://drive.google.com/uc?export=view&id=1Sp9IwIPsfZZtRD0HpSkZ3FSu04OV7Tmv
North,Himachal Pradesh,Bir Billing,Paragliding Site,2.0,4.8,2500.0,Adventure,Yes,All,"Mar–Jun, Sep–Oct",Kangra Airport (DHM),1000,Chana Madra,Veg,Chickpea Curry,Main Course,https://drive.google.com/uc?export=view&id=1ozEUwZp-IZaqnZdl5syxOaj5saKMHPav,https://drive.google.com/uc?export=view&id=1_DOnsDztKdve2SkYeixt-f1UU-FOG1bF
North,Jammu and Kashmir,Pahalgam,Betaab Valley,2.0,4.6,100.0,Nature,Yes,All,"Apr–Jun, Sep–Oct",Sheikh ul-Alam International Airport (SXR),11000,Dum Aloo,Veg,Baby potatoes cooked in curd and spice-rich gravy,Main Course,https://drive.google.com/uc?export=view&id=1hePNBX004kknFhaqv9QVFGA6v0zfX8dg,https://drive.google.com/uc?export=view&id=1fWUuQpqVUYaxxOJma-RZZ9xfHZ0prpN0
North,Jammu and Kashmir,Srinagar,Dal Lake,2.0,4.6,0.0,Nature,Yes,Morning,"Apr–Jun, Sep–Oct",Sheikh ul-Alam International Airport (SXR),15000,Rogan Josh (Wazwan),Non Veg,Kashmiri Specialty,Main Course,https://drive.google.com/uc?export=view&id=1wqPmh7r8loMczgIkDCu6GtzZUaBNB6M9,https://drive.google.com/uc?export=view&id=1MRaqTnzdS5ULKMrW8ll-AUxqeO3Fh_b5
North,Jammu and Kashmir,Jammu,Vaishno Devi,5.0,4.7,0.0,Religious,No,All,"Mar–Jun, Sep–Oct",Jammu Airport (IXJ),55000,Kaladi Kulcha,Veg,Local Cheese,Snack,https://drive.google.com/uc?export=view&id=1ZFVQhfj9UzBXxRKNN13rK2WqIRYwLnYu,https://drive.google.com/uc?export=view&id=1xaSkdTlaPsJ6aHf_mDlbXNbLH8arHYEz
North,Jammu and Kashmir,Udhampur,Patnitop Height,2.0,4.1,0.0,Recreational,Yes,All,"Apr–Jun, Sep–Oct",Sheikh ul-Alam International Airport (SXR),1000,Kashmiri Kahwa,Veg,"Traditional Kashmiri green tea with saffron, almonds, and cardamom",Beverage,https://drive.google.com/uc?export=view&id=13FC70yPgror6hPDqfdmAWi1--73gEQSK,https://drive.google.com/uc?export=view&id=1hDGdmBzyvLWq2FwLeNtXZFjly12_rxSX
North,Jammu and Kashmir,Kishtwar,Kishtwar National Park,3.0,4.3,100.0,Wildlife,Yes,All,"Apr–Jun, Sep–Oct",Sheikh ul-Alam International Airport (SXR),1000,Modur Pulao,Veg,Sweet Kashmiri saffron rice with dry fruits,Main Course/Sweet,https://drive.google.com/uc?export=view&id=1duQJdUqFePTfBZ5EFDpwR4lmwuErOezy,https://drive.google.com/uc?export=view&id=11eul4bM9jIKT2XP8wfufVeyjBKUuc-wf
North,Jammu and Kashmir,Anantnag,Amarnath Cave,6.0,4.5,0.0,Religious,Yes,All,"Apr–Jun, Sep–Oct",Sheikh ul-Alam International Airport (SXR),11000,Sheermal,Veg,Sweet saffron-flavored flatbread,Bread/Sweet,https://drive.google.com/uc?export=view&id=1K-ZFvhg5FeDggWbam7V3WWj-8004lwvB,https://drive.google.com/uc?export=view&id=1jDZsGm49ZPG9rf0_vW7TgVJu3ohT12Ob
East,Jharkhand,Ranchi,Pahari Mandir,1.0,4.6,0.0,Religious,Yes,All,Oct–Mar,Birsa Munda Airport (IXR),13000,Dhuska,Veg,Deep-fried rice and lentil pancakes served with spicy chickpea curry,Snack / Breakfast,https://drive.google.com/uc?export=view&id=1sFpnyXMfwn8_hGz1Uap_ELlcdP7uwNQR,https://drive.google.com/uc?export=view&id=1XwmhA3nit-dLIWgErnfwXlCkxpfXU7Zw
East,Jharkhand,Deoghar,Baba Baidyanath Temple,1.0,4.7,0.0,Religious,Yes,All,Oct–Mar,Birsa Munda Airport (IXR),180000,Pedas,Veg,"Sweet milk-based fudge, offered as temple prasad",Dessert,https://drive.google.com/uc?export=view&id=1qbdut9RK-RFlpVj_zhWkCZIUxl48QooZ,https://drive.google.com/uc?export=view&id=1VQraKVjjWfRrBOH9Y7WQ5m2wHVdXOAGv
South,Karnataka,Bangalore,Orion Mall,2.0,4.5,0.0,Shopping,Yes,All,Nov–Feb,Kempegowda International Airport (BLR),180000,Neer Dosa,Veg,Rice Crepe,Breakfast,https://drive.google.com/uc?export=view&id=1gwDnEOBMzIeZhN8d3V9A4ozjby5-Dn5e,https://drive.google.com/uc?export=view&id=1E2B3sHUSU_Nt4EGipyFqFL7c5oa5e0e2
South,Karnataka,Bangalore,Bangalore Palace,2.0,4.2,500.0,Historical,Yes,Morning,Nov–Feb,Kempegowda International Airport (BLR),90000,Bisi Bele Bath,Veg,Rice + Lentils,Main Course,https://drive.google.com/uc?export=view&id=1e41yjzqK30ouAzq1WHi8xkiMfHYe5vOt,https://drive.google.com/uc?export=view&id=1ZZzYavSdNB-BijEcxprMtphMXp57A0-F
South,Karnataka,Bangalore,Lalbagh Botanical Garden,1.5,4.4,20.0,Nature,Yes,Evening,Nov–Feb,Kempegowda International Airport (BLR),150000,Mysore Masala Dosa,Veg,Dosa,Breakfast,https://drive.google.com/uc?export=view&id=1S1fxldSGlonorfC3PWsZZN_v2CVCYg3w,https://drive.google.com/uc?export=view&id=1yAIF0APRn6kyiXSNMa6kRLz_--8bjWDq
South,Karnataka,Bangalore,Cubbon Park,1.0,4.4,0.0,Nature,Yes,Morning,Nov–Feb,Kempegowda International Airport (BLR),132000,Ragi Mudde with Sambar,Veg,Millet Ball + Sambar,Main Course,https://drive.google.com/uc?export=view&id=1jCSjx63SLZaaxkoQoxsavMtmu0NLyTe-,https://drive.google.com/uc?export=view&id=1foKwDrat3FDep1FirXUJpzQQ4N4Epv66
South,Karnataka,Bangalore,Vidhana Soudha,0.5,4.6,0.0,Architectural,No,Morning,Nov–Feb,Kempegowda International Airport (BLR),80000,Udupi Sambar,Veg,Curry,Main Course,https://drive.google.com/uc?export=view&id=1tO02WG6nmazEQ3FL1NWGJQQL68tx2UOg,https://drive.google.com/uc?export=view&id=1qrmwBNQnPlB9LtOWxkUcbvJiGApyJfrS
South,Karnataka,Bangalore,ISKCON Temple Bangalore,1.0,4.6,0.0,Religious,Yes,Evening,Nov–Feb,Kempegowda International Airport (BLR),113999,Mysore Pak,Veg,Sweet,Dessert,https://drive.google.com/uc?export=view&id=1F9zSHDdJEXB8mGkHIu1WPjLGHNYbEs2W,https://drive.google.com/uc?export=view&id=1KaImXvlwuTH94qRdYnk-8GLgqSCNNjiY
South,Karnataka,Halebidu,Halebidu Hoysaleswara Temple,1.0,4.7,15.0,Religious,No,All,Nov–Feb,Kempegowda International Airport (BLR),11000,Uppittu (Upma),Veg,Breakfast,Breakfast,https://drive.google.com/uc?export=view&id=1sAQP1RrVOa6k3K5njPxRQ5hMWnD6rObL,https://drive.google.com/uc?export=view&id=1T5lH7xI2o1vPRg0gSM1iMPXukGjlS501
South,Karnataka,Bandipur,Bandipur National Park,3.0,4.4,300.0,Wildlife,Yes,Morning,Nov–Feb,Kempegowda International Airport (BLR),15000,Kotambari Vade,Veg,Fritter,Snack,https://drive.google.com/uc?export=view&id=1xIct3yemDlDJt7EJQ81riguB2tLigYr6,https://drive.google.com/uc?export=view&id=1mr4xGU-OUp_r6Bs1OchwUdGyBHA54in5
South,Karnataka,Bijapur,Gol Gumbaz,1.5,4.5,20.0,Historical,Yes,All,Nov–Feb,Kempegowda International Airport (BLR),25000,Chitranna (Lemon Rice),Veg,Rice,Main Course,https://drive.google.com/uc?export=view&id=1YhGTShOJ_fMlX4iHGRlxJiy0U4jdXa4A,https://drive.google.com/uc?export=view&id=1XHB_cqW642pcgA15dHIYB3H4QwfC-qXA
South,Karnataka,Murudeshwar,Murudeshwar Temple,1.0,4.7,0.0,Religious,No,All,Nov–Feb,Kempegowda International Airport (BLR),49000,Kane Rava Fry,Non Veg,Fish Fry,Snack,https://drive.google.com/uc?export=view&id=1ZWobuNteWFmeDvy8mB0wrOTH2NbUNbKs,https://drive.google.com/uc?export=view&id=1Pd8y5UJoIzI_KgzxRD-dheib6BMgCUmB
South,Karnataka,Mangalore,Panambur Beach,1.5,4.5,0.0,Recreational,Yes,All,Nov–Feb,Mangaluru International Airport (IXE),10000,Thatte Idli,Veg,Steamed Cake,Breakfast,https://drive.google.com/uc?export=view&id=1Km11At_pOUirFYJpWJKQp6Us4MqwxTPD,https://drive.google.com/uc?export=view&id=1Yu-IGdlKHk_I8fGJswCzG1XFtDWid21r
South,Karnataka,Shivamogga,Jog Falls,1.5,4.6,30.0,Nature,Yes,Morning,Nov–Feb,Kempegowda International Airport (BLR),23000,Puliyogare,Veg,Tamarind Rice,Main Course,https://drive.google.com/uc?export=view&id=1TN9kERXOyziGQ3Cpj7eyAsRij-jc4JLF,https://drive.google.com/uc?export=view&id=1Ue_jD0lCi772NuJ07ogHh6Mn-RFHgiGg
South,Karnataka,Badami,Badami Cave Temples,1.5,4.6,30.0,Religious,No,All,Nov–Feb,Kempegowda International Airport (BLR),20000,Kesari Bath,Veg,Sweet Semolina,Dessert,https://drive.google.com/uc?export=view&id=1MRs4lC24q6s-k3PXdmcWJDc78l4nflbd,https://drive.google.com/uc?export=view&id=1tqPHy3GFAxUlfCoiLxnRybm441-ZGBgh
South,Karnataka,Chikmagalur,Mullayanagiri,3.0,4.5,0.0,Nature,Yes,All,Nov–Feb,Kempegowda International Airport (BLR),5000,Saaru (Rasam),Veg,Soup,Starter,https://drive.google.com/uc?export=view&id=1E5_J_y3feuHUOdfNEg_6cyyUgPvQ0ih9,https://drive.google.com/uc?export=view&id=1sGv4FGGDhnZDmJBsHhUJMAwrPxaWUW4e
South,Karnataka,Gokarna,Om Beach,2.0,4.5,0.0,Nature,Yes,All,Nov–Feb,Kempegowda International Airport (BLR),9000,Chicken Ghee Roast,Non Veg,Roast,Main Course,https://drive.google.com/uc?export=view&id=1J9yqMNhwTsAls8buvDoG2VnNtjqnAKZa,https://drive.google.com/uc?export=view&id=1NDd-3m2VaVcCbQAZSk0ti-naRh8r-xhG
South,Karnataka,Coorg,Abbey Falls,1.0,4.1,0.0,Nature,Yes,Morning,Oct–Mar,Kannur International Airport (CNN),3000,Mangalorean Fish Curry,Non Veg,Fish Curry,Main Course,https://drive.google.com/uc?export=view&id=1woUrOQRa33ChaG46nTQ9Z55BFIzNznds,https://drive.google.com/uc?export=view&id=1oR234zpF_VXbIwf7tcL7WVM7JgkkaMrW
South,Karnataka,Hampi,Hampi Archaeological Ruins,3.0,4.7,0.0,Historical,Yes,All,Oct–Mar,"Jindal Vijaynagar Airport, Toranagallu (VDY)",5000,Holige/Obbattu,Veg,Sweet Flatbread,Dessert,https://drive.google.com/uc?export=view&id=1PmTeC_B6SbpGtQic_Nv9y0z0D0Y4Z_02,https://drive.google.com/uc?export=view&id=1Yj0gXwriK6stf64p0_BCdEBwv4QuwyZ2
