Main Tourist Attraction,City,State,Dish Name,Veg or Non Veg,Type of Dish,Course
Phoenix Palassio,Lucknow,Uttar Pradesh,Kulcha Nihari (Lucknow),Non Veg,Bread + Stew,Main Course
Krishna Janmabhoomi,Mathura,Uttar Pradesh,Peda (Mathura),Veg,Sweet,Dessert
Nand Gaon,Mathura,Uttar Pradesh,Ghevar,Veg,Sweet,Dessert
Barsana Mandir,Mathura,Uttar Pradesh,Malpua,Veg,Sweet,Dessert
Ram Janmabhoomi,Ayodhya,Uttar Pradesh,Kebabs (Kakori/Seekh),Non Veg,Grilled Meat,Snack
Banke Bihari Temple,Vrindavan,Uttar Pradesh,Kheer,Veg,Sweet,Dessert
Prem Mandir,Vrindavan,Uttar Pradesh,Banarasi Paan,Veg,Digestive,After Meal
Triveni Sangam,Allahabad,Uttar Pradesh,Bedhai Jalebi (Agra),Veg,Breakfast + Sweet,Breakfast
Jhansi Fort,Jhansi,Uttar Pradesh,Khasta Kachori,Veg,Snack,Snack
Dhamek Stupa,Sarnath,Uttar Pradesh,Sheermal,Veg,Saffron Bread,Side
Buland Darwaza,Fatehpur Sikri,Uttar Pradesh,Basket Chaat,Veg,Street Snack,Snack
Okhla Bird Sanctuary,Noida,Uttar Pradesh,Kulfi Falooda,Veg,Dessert,Dessert
DLF Mall of India,Noida,Uttar Pradesh,Imarti,Veg,Sweet,Dessert
Aligarh Fort,Aligarh,Uttar Pradesh,Laal Peda,Veg,Sweet,Dessert
Augarnath Temple,Meerut,Uttar Pradesh,Ras Malai,Veg,Sweet,Dessert
Allen Forest Zoo,Kanpur,Uttar Pradesh,Batti Chokha (Eastern UP),Veg,Rustic Meal,Main Course
Kirti Mandir,Porbandar,Uttar Pradesh,Malaiyo (Winter Varanasi),Veg,Foamy Dessert,Dessert
The Grand Venice Mall,Greater Noida,Uttar Pradesh,Baati (Varieties),Veg,Bread,Main Course
Buddh International Circuit,Greater Noida,Uttar Pradesh,Kulhad Chai,Veg,Tea,Drink
Ghats of Varanasi (Dashashwamedh Ghat),Varanasi,Uttar Pradesh,Puri Sabzi (Banaras),Veg,Breakfast,Breakfast
Naini Lake,Nainital,Uttarakhand,Kafuli,Veg,Spinach Curry,Main Course
Laxman Jhula,Rishikesh,Uttarakhand,Bhatt ki Churdkani,Veg,Black Soybean Curry,Main Course
Har Ki Pauri,Haridwar,Uttarakhand,Aloo Ke Gutke,Veg,Spiced Potato,Snack
Robber's Cave,Dehradun,Uttarakhand,Gahat (Kulath) Soup,Veg,Soup,Starter
Kempty Falls,Mussoorie,Uttarakhand,Chainsoo,Veg,Black Gram Curry,Main Course
Auli Ski Resort,Auli,Uttarakhand,Phaanu,Veg,Mixed Lentil Curry,Main Course
Badrinath Temple,Badrinath,Uttarakhand,Singori,Veg,Sweet,Dessert
Binsar Wildlife Sanctuary,Almora,Uttarakhand,Arsa,Veg,Sweet,Dessert
Chaubatia Gardens,Ranikhet,Uttarakhand,Jhangora ki Kheer,Veg,Millet Pudding,Dessert
Jim Corbett National Park,Jim Corbett,Uttarakhand,Bhang ki Chutney,Veg,Chutney,Side
Gangotri Temple,Uttarkashi,Uttarakhand,Garhwal Ka Fannah,Veg,Lentil Dish,Main Course
Tungnath Temple,Chopta,Uttarakhand,Bal Mithai,Veg,Sweet,Dessert
Valley of Flowers,Joshimath,Uttarakhand,Ras (Kumaoni),Veg,Lentil Soup,Starter
Kedarnath,Kedarnath,Uttarakhand,Urad Ke Pakode,Veg,Fritter,Snack
Victoria Memorial,Kolkata,West Bengal,Kosha Mangsho,Non Veg,Mutton Curry,Main Course
Howrah Bridge,Kolkata,West Bengal,Shorshe Ilish,Non Veg,Hilsa in Mustard,Main Course
Indian Museum,Kolkata,West Bengal,Chingri Malai Curry,Non Veg,Prawn Coconut Curry,Main Course
Dakshineswar Kali Temple,Kolkata,West Bengal,Alur Dom Luchi,Veg,Potato + Fried Bread,Main Course
Kalighat Kali Temple,Kolkata,West Bengal,Bhetki Paturi,Non Veg,Fish in Banana Leaf,Main Course
Eden Gardens,Kolkata,West Bengal,Kathi Roll,Non Veg,Street Roll,Snack
Alipore Zoological Gardens,Kolkata,West Bengal,Ghugni,Veg,Yellow Pea Curry,Snack
Science City Kolkata,Kolkata,West Bengal,Macher Jhol,Non Veg,Fish Curry,Main Course
Belur Math,Kolkata,West Bengal,Aloo Posto,Veg,Poppy Potato,Main Course
Marble Palace,Kolkata,West Bengal,Bengali Mishti Doi,Veg,Curd Dessert,Dessert
Tiger Hill,Darjeeling,West Bengal,Rosogolla,Veg,Sweet,Dessert
Jaldapara National Park,Siliguri,West Bengal,Sandesh,Veg,Sweet,Dessert
Sundarbans National Park,Sundarbans,West Bengal,Patishapta,Veg,Crepe Sweet,Dessert
Digha Beach,Digha,West Bengal,Beguni,Veg,Brinjal Fritter,Snack
Hazarduari Palace,Murshidabad,West Bengal,Mochar Ghonto,Veg,Banana Blossom Curry,Main Course
Kankalitala Temple,Bolpur,West Bengal,Bok Phool Bhaja,Veg,Fried Flowers,Snack
Hangseswari Temple,Hooghly,West Bengal,Mishti Pulao,Veg,Sweet Rice,Main Course
Gorumara National Park,Jalpaiguri,West Bengal,Dab Chingri,Non Veg,Prawn in Coconut,Main Course
Cooch Behar Palace,Cooch Behar,West Bengal,Mutton Kasha,Non Veg,Mutton Curry,Main Course
Ayodhya Hills,Purulia,West Bengal,Pabda Shorshe,Non Veg,Fish Mustard Curry,Main Course
